,entry,exit,position,asset
170,2010-12-08,2011-03-09,1,"('LG전자', 'LG전자우')"
171,2010-12-10,2011-03-29,1,"('NH투자증권', 'NH투자증권우')"
172,2010-12-14,2011-08-03,1,"('삼성화재', '삼성화재우')"
173,2010-12-20,2011-01-19,1,"('미래에셋증권', '미래에셋증권우')"
174,2010-12-20,2011-04-14,1,"('DB하이텍', 'DB하이텍1우')"
175,2010-12-21,2011-07-20,1,"('한화솔루션', '한화솔루션우')"
176,2010-12-22,2011-02-22,1,"('한화', '한화우')"
177,2010-12-23,2011-06-16,1,"('LG화학', 'LG화학우')"
178,2010-12-29,2011-01-28,1,"('CJ제일제당', 'CJ제일제당 우')"
179,2010-12-29,2011-02-01,1,"('현대차', '현대차우')"
180,2010-12-30,2011-01-07,1,"('유한양행', '유한양행우')"
181,2011-01-03,2011-02-11,1,"('LG', 'LG우')"
182,2011-01-03,2011-04-25,1,"('삼성전기', '삼성전기우')"
183,2011-01-03,2011-04-25,1,"('삼성SDI', '삼성SDI우')"
184,2011-01-04,2011-01-06,1,"('현대건설', '현대건설우')"
185,2011-01-04,2011-08-09,1,"('넥센타이어', '넥센타이어1우B')"
186,2011-01-05,2011-03-14,1,"('호텔신라', '호텔신라우')"
187,2011-01-13,2011-03-04,1,"('CJ', 'CJ우')"
188,2011-01-19,2011-02-22,1,"('대한항공', '대한항공우')"
189,2011-01-27,2011-04-20,1,"('S-Oil', 'S-Oil우')"
190,2011-02-01,2011-03-22,1,"('금호석유', '금호석유우')"
191,2011-02-09,2011-05-06,1,"('JW중외제약', 'JW중외제약우')"
192,2011-02-10,2011-08-03,1,"('현대차', '현대차우')"
193,2011-02-15,2011-06-23,1,"('아모레G', '아모레G우')"
194,2011-02-23,2011-05-26,1,"('LG', 'LG우')"
195,2011-03-11,2011-06-07,1,"('CJ제일제당', 'CJ제일제당 우')"
196,2011-03-17,2011-07-26,1,"('아모레퍼시픽', '아모레퍼시픽우')"
197,2011-03-18,2011-05-06,1,"('현대건설', '현대건설우')"
198,2011-03-22,2011-05-02,1,"('GS', 'GS우')"
199,2011-03-24,2011-04-19,1,"('LG전자', 'LG전자우')"
200,2011-03-25,2011-05-16,1,"('한화', '한화우')"
201,2011-03-25,2011-08-18,1,"('대상', '대상우')"
202,2011-03-31,2011-04-26,1,"('대한항공', '대한항공우')"
203,2011-03-31,2011-05-30,1,"('CJ', 'CJ우')"
204,2011-04-01,2011-05-16,1,"('한국금융지주', '한국금융지주우')"
205,2011-04-01,2011-05-19,1,"('미래에셋증권', '미래에셋증권우')"
206,2011-04-05,2011-04-13,1,"('SK네트웍스', 'SK네트웍스우')"
207,2011-04-19,2011-05-31,1,"('LG전자', 'LG전자우')"
208,2011-04-19,2011-08-23,1,"('금호석유', '금호석유우')"
209,2011-04-28,2011-06-28,1,"('S-Oil', 'S-Oil우')"
210,2011-05-02,2011-06-28,1,"('호텔신라', '호텔신라우')"
211,2011-05-16,2011-06-03,1,"('삼성SDI', '삼성SDI우')"
212,2011-06-02,2011-07-25,1,"('SK이노베이션', 'SK이노베이션우')"
213,2011-06-07,2011-07-28,1,"('삼성전기', '삼성전기우')"
214,2011-06-13,2011-06-29,1,"('CJ제일제당', 'CJ제일제당 우')"
215,2011-06-17,2011-07-29,1,"('한화', '한화우')"
216,2011-06-17,2011-08-03,1,"('한국금융지주', '한국금융지주우')"
217,2011-06-21,2011-07-29,1,"('대한항공', '대한항공우')"
218,2011-06-21,2011-08-09,1,"('유한양행', '유한양행우')"
219,2011-06-22,2011-08-12,1,"('LG화학', 'LG화학우')"
220,2011-07-01,2011-08-03,1,"('DB하이텍', 'DB하이텍1우')"
221,2011-07-04,2011-08-05,1,"('미래에셋증권', '미래에셋증권우')"
222,2011-07-15,2011-08-25,1,"('SK네트웍스', 'SK네트웍스우')"
223,2011-07-19,2011-07-29,1,"('JW중외제약', 'JW중외제약우')"
224,2011-07-22,2011-08-01,1,"('현대건설', '현대건설우')"
225,2011-07-22,2011-08-19,1,"('아모레G', '아모레G우')"
226,2011-07-22,2011-10-05,1,"('CJ', 'CJ우')"
227,2011-07-27,2011-08-19,1,"('NH투자증권', 'NH투자증권우')"
228,2011-08-03,2011-08-05,1,"('한화솔루션', '한화솔루션우')"
229,2011-08-08,2011-08-19,1,"('현대차', '현대차우')"
230,2011-08-09,2011-10-28,1,"('넥센타이어', '넥센타이어1우B')"
231,2011-08-17,2011-10-12,1,"('CJ제일제당', 'CJ제일제당 우')"
232,2011-08-18,2011-09-14,1,"('LG생활건강', 'LG생활건강우')"
233,2011-08-18,2011-09-26,1,"('대상', '대상우')"
234,2011-08-18,2011-11-09,1,"('아모레퍼시픽', '아모레퍼시픽우')"
235,2011-08-23,2011-09-05,1,"('삼성SDI', '삼성SDI우')"
236,2011-08-29,2011-11-03,1,"('LG', 'LG우')"
237,2011-08-31,2011-11-02,1,"('LG전자', 'LG전자우')"
238,2011-08-31,2011-11-18,1,"('한국금융지주', '한국금융지주우')"
239,2011-09-15,2012-01-02,1,"('아모레G', '아모레G우')"
240,2011-09-16,2012-01-09,1,"('삼성전자', '삼성전자우')"
241,2011-09-16,2012-03-06,1,"('현대차', '현대차우')"
242,2011-09-21,2011-10-28,1,"('삼성전기', '삼성전기우')"
243,2011-09-28,2011-10-04,1,"('삼성화재', '삼성화재우')"
244,2011-10-05,2011-12-27,1,"('CJ', 'CJ우')"
245,2011-10-11,2011-10-25,1,"('현대건설', '현대건설우')"
246,2011-10-11,2011-11-23,1,"('유한양행', '유한양행우')"
247,2011-10-19,2011-12-07,1,"('LG생활건강', 'LG생활건강우')"
248,2011-10-26,2011-11-21,1,"('한화', '한화우')"
249,2011-10-27,2011-11-24,1,"('JW중외제약', 'JW중외제약우')"
250,2011-11-11,2012-03-19,1,"('LG화학', 'LG화학우')"
251,2011-11-30,2012-01-02,1,"('넥센타이어', '넥센타이어1우B')"
252,2011-11-30,2012-07-06,1,"('삼성전기', '삼성전기우')"
253,2011-12-01,2012-01-17,1,"('LG전자', 'LG전자우')"
254,2011-12-02,2012-02-20,1,"('유한양행', '유한양행우')"
255,2011-12-02,2012-02-23,1,"('LG', 'LG우')"
256,2011-12-06,2012-03-07,1,"('현대건설', '현대건설우')"
257,2011-12-12,2012-07-17,1,"('호텔신라', '호텔신라우')"
258,2011-12-22,2012-04-02,1,"('LG생활건강', 'LG생활건강우')"
259,2012-01-03,2012-02-27,1,"('금호석유', '금호석유우')"
260,2012-01-03,2012-07-04,1,"('CJ제일제당', 'CJ제일제당 우')"
261,2012-01-04,2012-02-07,1,"('DB하이텍', 'DB하이텍1우')"
262,2012-01-05,2012-03-28,1,"('S-Oil', 'S-Oil우')"
263,2012-01-10,2012-02-22,1,"('JW중외제약', 'JW중외제약우')"
264,2012-01-10,2012-03-12,1,"('NH투자증권', 'NH투자증권우')"
265,2012-01-12,2012-04-09,1,"('한화솔루션', '한화솔루션우')"
266,2012-01-17,2012-04-03,1,"('미래에셋증권', '미래에셋증권우')"
267,2012-01-19,2012-02-20,1,"('삼성SDI', '삼성SDI우')"
268,2012-01-19,2012-02-29,1,"('한화', '한화우')"
269,2012-01-20,2012-02-22,1,"('한국금융지주', '한국금융지주우')"
270,2012-01-25,2012-02-23,1,"('LG전자', 'LG전자우')"
271,2012-01-27,2012-03-23,1,"('대한항공', '대한항공우')"
272,2012-01-31,2012-02-27,1,"('삼성화재', '삼성화재우')"
273,2012-02-08,2012-04-19,1,"('CJ', 'CJ우')"
274,2012-02-08,2012-05-17,1,"('대상', '대상우')"
275,2012-02-17,2012-04-06,1,"('아모레퍼시픽', '아모레퍼시픽우')"
276,2012-02-22,2012-03-15,1,"('삼성전자', '삼성전자우')"
277,2012-02-27,2012-04-09,1,"('JW중외제약', 'JW중외제약우')"
278,2012-03-14,2012-07-06,1,"('LG전자', 'LG전자우')"
279,2012-03-15,2012-04-20,1,"('아모레G', '아모레G우')"
280,2012-03-19,2012-04-27,1,"('유한양행', '유한양행우')"
281,2012-03-26,2012-06-11,1,"('삼성화재', '삼성화재우')"
282,2012-03-27,2012-04-04,1,"('LG', 'LG우')"
283,2012-04-03,2012-05-18,1,"('현대차', '현대차우')"
284,2012-04-06,2012-04-19,1,"('현대건설', '현대건설우')"
285,2012-04-09,2012-04-17,1,"('SK네트웍스', 'SK네트웍스우')"
286,2012-04-09,2012-07-25,1,"('LG화학', 'LG화학우')"
287,2012-04-12,2012-04-13,1,"('GS', 'GS우')"
288,2012-04-17,2012-05-09,1,"('SK이노베이션', 'SK이노베이션우')"
289,2012-04-18,2012-09-05,1,"('삼성전자', '삼성전자우')"
290,2012-04-19,2012-04-20,1,"('SK네트웍스', 'SK네트웍스우')"
291,2012-04-20,2012-05-11,1,"('DB하이텍', 'DB하이텍1우')"
292,2012-04-20,2012-06-27,1,"('삼성SDI', '삼성SDI우')"
293,2012-04-26,2012-05-14,1,"('SK네트웍스', 'SK네트웍스우')"
294,2012-04-30,2012-06-29,1,"('넥센타이어', '넥센타이어1우B')"
295,2012-05-03,2012-05-21,1,"('한국금융지주', '한국금융지주우')"
296,2012-05-03,2012-06-27,1,"('LG', 'LG우')"
297,2012-05-03,2012-09-24,1,"('한화', '한화우')"
298,2012-05-04,2012-06-01,1,"('LG생활건강', 'LG생활건강우')"
299,2012-05-04,2012-07-26,1,"('대한항공', '대한항공우')"
300,2012-05-08,2012-06-05,1,"('CJ', 'CJ우')"
301,2012-05-24,2012-08-16,1,"('아모레G', '아모레G우')"
302,2012-06-01,2012-07-12,1,"('유한양행', '유한양행우')"
303,2012-06-11,2012-09-14,1,"('미래에셋증권', '미래에셋증권우')"
304,2012-06-13,2012-07-13,1,"('대상', '대상우')"
305,2012-06-15,2012-10-05,1,"('SK이노베이션', 'SK이노베이션우')"
306,2012-06-18,2012-07-09,1,"('현대건설', '현대건설우')"
307,2012-06-18,2012-09-20,1,"('S-Oil', 'S-Oil우')"
308,2012-06-20,2012-07-23,1,"('JW중외제약', 'JW중외제약우')"
309,2012-06-20,2012-08-14,1,"('DB하이텍', 'DB하이텍1우')"
310,2012-07-03,2012-07-25,1,"('NH투자증권', 'NH투자증권우')"
311,2012-07-03,2012-07-25,1,"('한화솔루션', '한화솔루션우')"
312,2012-07-26,2012-09-20,1,"('넥센타이어', '넥센타이어1우B')"
313,2012-07-27,2012-08-31,1,"('현대차', '현대차우')"
314,2012-07-30,2012-09-20,1,"('GS', 'GS우')"
315,2012-08-01,2012-09-06,1,"('삼성화재', '삼성화재우')"
316,2012-08-02,2012-08-27,1,"('삼성전기', '삼성전기우')"
317,2012-08-03,2012-09-03,1,"('LG전자', 'LG전자우')"
318,2012-08-07,2012-10-08,1,"('삼성SDI', '삼성SDI우')"
319,2012-08-07,2012-10-10,1,"('현대건설', '현대건설우')"
320,2012-08-08,2012-09-05,1,"('한화솔루션', '한화솔루션우')"
321,2012-08-10,2012-09-10,1,"('LG', 'LG우')"
322,2012-08-14,2012-09-06,1,"('CJ제일제당', 'CJ제일제당 우')"
323,2012-08-16,2012-12-06,1,"('대상', '대상우')"
